   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    277000   5318.8368      707674.41      8000          -2077.9187      543.82327     -1534.0955      1999.4698    
    278000   5459.8308      700549.75      8000          -2096.7637      558.23917     -1538.5246      1959.4658    
    279000   5459.2543      697669.51      8000          -2101.0429      558.18023     -1542.8627      1940.7461    
    280000   5415.3028      697426.99      8000          -2100.8867      553.68642     -1547.2002      1935.1976    
    281000   5415.2469      695906.56      8000          -2105.1441      553.6807      -1551.4634      1923.3426    
    282000   5317.9879      696912.03      8000          -2099.4708      543.73648     -1555.7343      1924.0922    
    283000   5284.7875      696341.35      8000          -2100.3214      540.34191     -1559.9795      1916.9975    
    284000   5162.5182      695919.28      8000          -2092.0286      527.84051     -1564.1881      1910.6814    
    285000   5263.2502      692931.45      8000          -2106.5334      538.13983     -1568.3936      1891.5571    
    286000   5193.2313      694108.76      8000          -2103.5012      530.98076     -1572.5204      1893.3088    
    287000   5261.2479      688975.6       8000          -2114.5414      537.93511     -1576.6063      1863.5919    
    288000   5186.0891      689508.17      8000          -2110.9499      530.25051     -1580.6994      1862.1581    
    289000   5080.9029      691539.31      8000          -2104.2579      519.49577     -1584.7622      1868.2372    
    290000   5344.1446      685224.69      8000          -2135.294       546.41086     -1588.8831      1832.586     
    291000   5135.6977      688832.93      8000          -2117.9942      525.09825     -1592.8959      1846.5899    
    292000   5148.2703      684140.11      8000          -2123.2542      526.38373     -1596.8704      1819.1832    
    293000   4982.4097      689099.11      8000          -2110.3246      509.42536     -1600.8992      1839.9157    
    294000   5159.3327      676772.85      8000          -2132.3232      527.51481     -1604.8084      1774.459     
    295000   5041.738       682909.48      8000          -2124.2166      515.49137     -1608.7253      1801.1836    
    296000   4969.5266      681908.96      8000          -2120.711       508.10813     -1612.6029      1792.3101    
    297000   4903.217       682414.58      8000          -2117.7226      501.32831     -1616.3943      1791.0434    
    298000   4914.7189      678986.52      8000          -2122.7653      502.50433     -1620.261       1770.0597    
    299000   5120.8033      671916.42      8000          -2147.6864      523.57538     -1624.111       1730.9072    
    300000   5004.8136      674604.09      8000          -2139.5982      511.71604     -1627.8821      1740.5562    
    301000   4813.845       676254.59      8000          -2123.8216      492.19049     -1631.6311      1745.0485    
    302000   4835.3044      674345.98      8000          -2129.7612      494.38461     -1635.3766      1731.7729    
    303000   4796.5105      676576.36      8000          -2129.559       490.41813     -1639.1409      1739.1454    
    304000   4992.5499      670279.42      8000          -2153.2886      510.46214     -1642.8265      1704.0179    
    305000   4792.5174      674550.28      8000          -2136.5218      490.00986     -1646.5119      1721.6577    
    306000   4901.8194      669438.13      8000          -2151.2897      501.18542     -1650.1042      1692.5394    
    307000   4695.5815      673233.44      8000          -2133.8285      480.09868     -1653.7298      1707.8646    
    308000   4726.8451      671503.25      8000          -2140.6182      483.29521     -1657.323       1695.6322    
    309000   4764.45        668458.32      8000          -2148.0814      487.14011     -1660.9412      1676.81      
    310000   4744.2338      667102.64      8000          -2149.5428      485.07312     -1664.4697      1666.5123    
    311000   4716.4512      664929.37      8000          -2150.201       482.23249     -1667.9685      1652.1619    
    312000   4946.8873      657479.17      8000          -2177.3106      505.79338     -1671.5172      1611.4128    
    313000   4620.681       665156.32      8000          -2147.4337      472.44049     -1674.9932      1646.2704    
    314000   4623.2786      663678.71      8000          -2151.1229      472.70608     -1678.4169      1635.4688    
    315000   4759.7899      659402.93      8000          -2168.4945      486.66364     -1681.8309      1610.7049    
    316000   4543.696       661795.15      8000          -2149.7892      464.56917     -1685.2201      1619.2606    
    317000   4585.5799      662507.57      8000          -2157.4774      468.85158     -1688.6258      1619.4121    
    318000   4528.5964      662618.64      8000          -2155.0299      463.02532     -1692.0046      1616.5879    
